Region,lds_2019
Utah,100
Idaho,37
Wyoming,11
Arizona,7
Hawaii,6
Nevada,6
Alaska,5
Montana,4
Washington,4
Oregon,3
New Mexico,3
Colorado,3
California,2
Missouri,1
Texas,1
Nebraska,1
Kansas,1
North Dakota,1
Arkansas,1
Virginia,1
Oklahoma,1
South Dakota,1
Iowa,1
North Carolina,1
Georgia,1
South Carolina,1
Alabama,1
Tennessee,1
West Virginia,1
Kentucky,1
Mississippi,1
Maine,1
Maryland,1
Indiana,1
Florida,1
Wisconsin,1
New Hampshire,1
Vermont,1
District of Columbia,1
Delaware,1
Minnesota,1
Louisiana,1
Illinois,1
Ohio,1
New York,1
Connecticut,1
Michigan,<1
Massachusetts,<1
Pennsylvania,<1
Rhode Island,<1
New Jersey,<1
